,Sector,Year,FDI($)
0,METALLURGICAL INDUSTRIES,2001,22.69
1,MINING,2001,1.32
2,POWER,2001,89.42
3,NON-CONVENTIONAL ENERGY,2001,0.0
4,COAL PRODUCTION,2001,0.0
5,PETROLEUM & NATURAL GAS,2001,9.35
6,BOILERS AND STEAM GENERATING PLANTS,2001,0.0
7,PRIME MOVER,2001,0.0
8,ELECTRICAL EQUIPMENTS,2001,79.76
9,COMPUTER SOFTWARE & HARDWARE,2001,228.39
10,ELECTRONICS,2001,8.34
11,TELECOMMUNICATIONS,2001,177.69
12,INFORMATION & BROADCASTING,2001,81.5
13,AUTOMOBILE INDUSTRY,2001,195.33
14,AIR TRANSPORT,2001,0.0
15,SEA TRANSPORT,2001,2.41
16,PORTS,2001,0.0
17,RAILWAY RELATED COMPONENTS,2001,0.0
18,INDUSTRIAL MACHINERY,2001,5.48
19,MACHINE TOOLS,2001,1.42
20,AGRICULTURAL MACHINERY,2001,3.64
21,EARTH-MOVING MACHINERY,2001,0.0
22,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2001,44.5
23,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2001,12.2
24,MEDICAL AND SURGICAL APPLIANCES,2001,5.42
25,INDUSTRIAL INSTRUMENTS,2001,1.01
26,SCIENTIFIC INSTRUMENTS,2001,8.07
27,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2001,0.0
28,FERTILIZERS,2001,0.0
29,CHEMICALS,2001,111.14
30,PHOTOGRAPHIC RAW FILM AND PAPER,2001,0.0
31,DYE-STUFFS,2001,1.05
32,DRUGS & PHARMACEUTICALS,2001,35.94
33,"TEXTILES (INCLUDING DYED,PRINTED)",2001,2.06
34,PAPER AND PULP,2001,60.04
35,SUGAR,2001,0.0
36,FERMENTATION INDUSTRIES,2001,16.02
37,FOOD PROCESSING INDUSTRIES,2001,45.75
38,VEGETABLE OILS AND VANASPATI,2001,0.0
39,"SOAPS, COSMETICS & TOILET PREPARATIONS",2001,0.0
40,RUBBER GOODS,2001,0.1
41,"LEATHER,LEATHER GOODS AND PICKERS",2001,9.75
42,GLUE AND GELATIN,2001,0.0
43,GLASS,2001,33.87
44,CERAMICS,2001,4.03
45,CEMENT AND GYPSUM PRODUCTS,2001,67.72
46,TIMBER PRODUCTS,2001,0.0
47,DEFENCE INDUSTRIES,2001,0.0
48,CONSULTANCY SERVICES,2001,4.25
49,SERVICES SECTOR,2001,71.38
50,HOSPITAL & DIAGNOSTIC CENTRES,2001,0.0
51,EDUCATION,2001,0.0
52,HOTEL & TOURISM,2001,13.2
53,TRADING,2001,11.49
54,RETAIL TRADING,2001,0.0
55,AGRICULTURE SERVICES,2001,17.52
56,"DIAMOND,GOLD ORNAMENTS",2001,18.83
57,TEA AND COFFEE,2001,20.23
58,PRINTING OF BOOKS,2001,0.0
59,COIR,2001,0.0
60,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2001,0.0
61,CONSTRUCTION DEVELOPMENT,2001,24.33
62,MISCELLANEOUS INDUSTRIES,2001,832.07
63,METALLURGICAL INDUSTRIES,2002,14.14
64,MINING,2002,6.52
65,POWER,2002,757.44
66,NON-CONVENTIONAL ENERGY,2002,0.0
67,COAL PRODUCTION,2002,0.0
68,PETROLEUM & NATURAL GAS,2002,211.07
69,BOILERS AND STEAM GENERATING PLANTS,2002,0.0
70,PRIME MOVER,2002,0.0
71,ELECTRICAL EQUIPMENTS,2002,65.76
72,COMPUTER SOFTWARE & HARDWARE,2002,419.39
73,ELECTRONICS,2002,12.47
74,TELECOMMUNICATIONS,2002,873.23
75,INFORMATION & BROADCASTING,2002,4.54
76,AUTOMOBILE INDUSTRY,2002,235.76
77,AIR TRANSPORT,2002,0.0
78,SEA TRANSPORT,2002,19.81
79,PORTS,2002,15.48
80,RAILWAY RELATED COMPONENTS,2002,0.0
81,INDUSTRIAL MACHINERY,2002,32.04
82,MACHINE TOOLS,2002,4.31
83,AGRICULTURAL MACHINERY,2002,1.04
84,EARTH-MOVING MACHINERY,2002,0.11
85,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2002,61.4
86,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2002,4.87
87,MEDICAL AND SURGICAL APPLIANCES,2002,42.35
88,INDUSTRIAL INSTRUMENTS,2002,5.07
89,SCIENTIFIC INSTRUMENTS,2002,2.33
90,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2002,0.0
91,FERTILIZERS,2002,0.0
92,CHEMICALS,2002,87.23
93,PHOTOGRAPHIC RAW FILM AND PAPER,2002,0.0
94,DYE-STUFFS,2002,0.18
95,DRUGS & PHARMACEUTICALS,2002,77.94
96,"TEXTILES (INCLUDING DYED,PRINTED)",2002,5.28
97,PAPER AND PULP,2002,16.7
98,SUGAR,2002,0.0
99,FERMENTATION INDUSTRIES,2002,11.04
100,FOOD PROCESSING INDUSTRIES,2002,219.39
101,VEGETABLE OILS AND VANASPATI,2002,0.0
102,"SOAPS, COSMETICS & TOILET PREPARATIONS",2002,0.0
103,RUBBER GOODS,2002,46.39
104,"LEATHER,LEATHER GOODS AND PICKERS",2002,0.2
105,GLUE AND GELATIN,2002,0.94
106,GLASS,2002,8.37
107,CERAMICS,2002,0.78
108,CEMENT AND GYPSUM PRODUCTS,2002,139.9
109,TIMBER PRODUCTS,2002,0.05
110,DEFENCE INDUSTRIES,2002,0.0
111,CONSULTANCY SERVICES,2002,66.22
112,SERVICES SECTOR,2002,187.95
113,HOSPITAL & DIAGNOSTIC CENTRES,2002,6.93
114,EDUCATION,2002,0.0
115,HOTEL & TOURISM,2002,32.12
116,TRADING,2002,43.27
117,RETAIL TRADING,2002,0.0
118,AGRICULTURE SERVICES,2002,14.06
119,"DIAMOND,GOLD ORNAMENTS",2002,0.36
120,TEA AND COFFEE,2002,0.14
121,PRINTING OF BOOKS,2002,0.0
122,COIR,2002,0.0
123,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2002,0.0
124,CONSTRUCTION DEVELOPMENT,2002,51.75
125,MISCELLANEOUS INDUSTRIES,2002,221.37
126,METALLURGICAL INDUSTRIES,2003,36.61
127,MINING,2003,10.06
128,POWER,2003,59.11
129,NON-CONVENTIONAL ENERGY,2003,1.7
130,COAL PRODUCTION,2003,0.0
131,PETROLEUM & NATURAL GAS,2003,56.78
132,BOILERS AND STEAM GENERATING PLANTS,2003,0.0
133,PRIME MOVER,2003,0.0
134,ELECTRICAL EQUIPMENTS,2003,34.71
135,COMPUTER SOFTWARE & HARDWARE,2003,314.24
136,ELECTRONICS,2003,295.88
137,TELECOMMUNICATIONS,2003,191.6
138,INFORMATION & BROADCASTING,2003,36.5
139,AUTOMOBILE INDUSTRY,2003,419.96
140,AIR TRANSPORT,2003,3.8
